name,method,quality
bing_biscuit_10,0,0
bing_biscuit_100,2,0.5
bing_biscuit_104,2,0.5
bing_biscuit_107,1,0.5
bing_biscuit_108,0,0
bing_biscuit_11,1,1
bing_biscuit_118,0,0
bing_biscuit_12,0,0
bing_biscuit_120,0,0
bing_biscuit_122,1,0.5
bing_biscuit_129,2,0.5
bing_biscuit_132,0,0
bing_biscuit_136,1,0.5
bing_biscuit_140,2,0.5
bing_biscuit_142,1,1
bing_biscuit_149,0,0
bing_biscuit_151,0,0
bing_biscuit_152,2,0.5
bing_biscuit_160,2,0.5
bing_biscuit_162,4,1
bing_biscuit_164,0,0
bing_biscuit_170,0,0
bing_biscuit_173,1,0.5
bing_biscuit_174,1,1
bing_biscuit_176,1,0.5
bing_biscuit_177,1,1
bing_biscuit_179,2,0.5
bing_biscuit_18,0,0
bing_biscuit_181,1,0.5
bing_biscuit_183,1,0.5
bing_biscuit_186,1,1
bing_biscuit_187,2,0.5
bing_biscuit_191,0,0
bing_biscuit_2,0,0
bing_biscuit_201,0,0
bing_biscuit_207,0,0
bing_biscuit_211,2,1
bing_biscuit_212,1,0.5
bing_biscuit_215,1,1
bing_biscuit_217,4,0.5
bing_biscuit_218,1,0.5
bing_biscuit_219,0,0
bing_biscuit_22,4,1
bing_biscuit_220,1,0.5
bing_biscuit_222,1,0.5
bing_biscuit_223,4,1
bing_biscuit_226,0,0
bing_biscuit_227,4,1
bing_biscuit_229,4,1
bing_biscuit_230,4,0.5
bing_biscuit_231,4,0.5
bing_biscuit_233,1,1
bing_biscuit_249,1,0.5
bing_biscuit_255,0,0
bing_biscuit_256,2,0.5
bing_biscuit_258,0,0
bing_biscuit_259,1,0.5
bing_biscuit_263,1,0.5
bing_biscuit_264,1,1
bing_biscuit_266,1,1
bing_biscuit_267,1,0.5
bing_biscuit_268,1,1
bing_biscuit_27,1,1
bing_biscuit_273,0,0
bing_biscuit_275,0,0
bing_biscuit_276,1,1
bing_biscuit_278,2,0.5
bing_biscuit_279,1,1
bing_biscuit_29,1,1
bing_biscuit_32,1,1
bing_biscuit_38,0,0
bing_biscuit_40,0,0
bing_biscuit_41,0,0
bing_biscuit_45,0,0
bing_biscuit_47,1,0.5
bing_biscuit_63,0,0
bing_biscuit_65,2,0.5
bing_biscuit_72,2,0.5
bing_biscuit_74,0,0
bing_biscuit_84,0,0
bing_biscuit_87,1,1
bing_biscuit_94,2,0.5
bing_biscuit_95,1,0.5
bing_biscuit_98,0,0
bing_cake_1,2,1
bing_cake_102,3,0.5
bing_cake_103,0,0
bing_cake_105,2,0.5
bing_cake_114,4,1
bing_cake_119,0,0
bing_cake_120,3,0.5
bing_cake_122,1,0.5
bing_cake_124,0,0
bing_cake_127,3,1
bing_cake_137,1,0.5
bing_cake_144,0,0
bing_cake_146,1,0.5
bing_cake_15,1,0.5
bing_cake_153,2,0.5
bing_cake_154,0,0
bing_cake_155,1,0.5
bing_cake_156,3,0.5
bing_cake_158,0,0
bing_cake_159,0,0
bing_cake_160,2,0.5
bing_cake_162,2,0.5
bing_cake_165,2,0.5
bing_cake_168,0,0
bing_cake_171,2,0.5
bing_cake_172,0,0
bing_cake_178,2,0.5
bing_cake_18,0,0
bing_cake_180,0,0
bing_cake_186,4,1
bing_cake_187,1,1
bing_cake_195,2,0.5
bing_cake_196,2,1
bing_cake_199,1,1
bing_cake_2,2,1
bing_cake_201,0,0
bing_cake_202,3,1
bing_cake_205,0,0
bing_cake_209,1,0.5
bing_cake_210,0,0
bing_cake_211,0,0
bing_cake_214,1,0.5
bing_cake_215,1,0.5
bing_cake_22,1,0.5
bing_cake_229,2,0.5
bing_cake_23,0,0
bing_cake_231,1,0.5
bing_cake_232,2,0.5
bing_cake_234,1,0.5
bing_cake_237,1,0.5
bing_cake_241,0,0
bing_cake_25,0,0
bing_cake_256,1,0.5
bing_cake_259,0,0
bing_cake_266,1,0.5
bing_cake_269,1,0.5
bing_cake_27,0,0
bing_cake_272,1,0.5
bing_cake_284,4,0.5
bing_cake_286,0,0
bing_cake_290,1,0.5
bing_cake_292,2,0.5
bing_cake_295,0,0
bing_cake_296,1,0.5
bing_cake_298,1,1
bing_cake_3,1,1
bing_cake_300,2,1
bing_cake_301,0,0
bing_cake_314,3,1
bing_cake_32,1,0.5
bing_cake_324,1,1
bing_cake_325,1,1
bing_cake_328,3,0.5
bing_cake_330,0,0
bing_cake_333,0,0
bing_cake_335,1,0.5
bing_cake_338,1,0.5
bing_cake_349,2,0.5
bing_cake_35,1,0.5
bing_cake_358,2,0.5
bing_cake_362,1,0.5
bing_cake_363,2,0.5
bing_cake_364,2,1
bing_cake_367,1,0.5
bing_cake_372,1,1
bing_cake_374,2,0.5
bing_cake_378,0,0
bing_cake_379,1,0.5
bing_cake_381,1,1
bing_cake_385,0,0
bing_cake_390,1,1
bing_cake_391,1,0.5
bing_cake_394,0,0
bing_cake_395,0,0
bing_cake_402,1,1
bing_cake_407,1,0.5
bing_cake_408,1,0.5
bing_cake_410,0,0
bing_cake_411,0,0
bing_cake_412,2,1
bing_cake_416,0,0
bing_cake_42,1,0.5
bing_cake_427,0,0
bing_cake_429,4,0.5
bing_cake_437,2,0.5
bing_cake_441,2,0.5
bing_cake_442,0,0
bing_cake_448,2,0.5
bing_cake_449,1,1
bing_cake_450,1,0.5
bing_cake_451,1,0.5
bing_cake_456,2,0.5
bing_cake_459,0,0
bing_cake_466,3,1
bing_cake_47,0,0
bing_cake_473,0,0
bing_cake_474,0,0
bing_cake_48,1,0.5
bing_cake_480,2,1
bing_cake_489,0,0
bing_cake_49,3,1
bing_cake_498,2,0.5
bing_cake_5,0,0
bing_cake_50,0,0
bing_cake_513,0,0
bing_cake_516,3,0.5
bing_cake_518,2,0.5
bing_cake_524,1,1
bing_cake_526,0,0
bing_cake_533,1,0.5
bing_cake_534,4,0.5
bing_cake_546,0,0
